NCR,CAR,I,II,III,IV-A,IV-B,V,VI,VII,VIII,IX,X,XI,XII,XIII,ARMM
0,2721,15721,14148,10195,70684,8869,47652,7058,8250,51063,16154,8336,2914,2206,12816,13697
1005,0,4091,4948,0,0,0,0,0,0,0,0,0,0,0,0,0
10658,6172,0,1766,2014,640,0,715,0,0,0,0,0,0,0,0,1745
1935,5254,1969,0,5693,0,0,2189,0,0,216,0,0,0,0,0,0
11821,0,6545,1021,0,2111,0,4333,7990,0,10234,0,2057,613,1810,784,5785
32195,1179,1849,1111,2111,0,11701,44355,4992,4759,16842,0,1781,1940,389,1919,1327
0,165,0,0,0,0,0,2992,0,0,0,0,0,0,0,0,0
14748,0,0,0,3439,5892,1697,0,0,7396,0,0,0,626,0,0,0
12488,215,0,0,0,7886,648,3585,0,3056,0,2518,0,3629,728,1489,344
2184,222,0,0,0,2207,0,2721,4597,0,15103,12108,650,2711,5438,2065,0
10586,0,0,0,1793,998,803,7646,0,8269,0,0,0,2066,0,0,0
3938,0,0,0,0,0,0,0,239,1564,0,0,3882,0,4015,0,8399
675,0,0,0,0,0,1426,0,1309,2514,0,4528,0,0,0,10364,3936
4650,0,0,0,0,0,0,0,636,0,1409,920,11356,0,11652,1880,6727
0,0,0,0,0,0,0,0,1362,651,0,1416,0,12253,0,1027,5916
3171,0,0,0,0,0,0,0,382,0,1814,0,4252,17704,638,0,0
11730,0,0,531,0,0,0,0,0,0,0,2889,2480,650,9427,0,0